sym,date,last,stop,zlsma,atr,adx,pdi,ndi,regime,pct200,advol,f5,f10,f21
BX,2026-05-01,126.35,118.63,138.6839,4.6678,21.0182,28.3471,19.3301,DEEP-FAIL,-14.5261,827368886,-2.0419,-6.6957,-9.0542
BX,2026-06-09,120.29,109.53,107.0827,4.4039,15.2901,27.2637,23.0911,DEEP-FAIL,-14.6787,619403523,6.3014,-6.0687,2.3277
SPGI,2026-03-31,402.3121,383.5841,407.1008,9.437,33.3394,20.2054,26.7835,DEEP-FAIL,-14.8373,907770304,2.7319,1.232,1.3848
SPGI,2026-04-22,424.7479,409.9357,451.8168,10.7331,18.587,27.6145,18.8645,REPAIR,-8.9495,808587787,-3.534,-5.6763,-7.4222
SPGI,2026-05-29,401.0446,382.5058,382.7224,10.5565,8.7405,23.3889,19.7802,DEEP-FAIL,-11.3229,900701271,0.1038,-1.2005,-3.9481
PGR,2026-04-15,201.23,191.94,194.9766,4.7976,32.4808,14.249,19.7864,DEEP-FAIL,-10.6803,629337186,0.7355,-0.2833,-2.1617
PGR,2026-05-18,204,193.76,199.7728,4.2285,20.6748,19.3336,16.2616,REPAIR,-7.1299,502473053,-2.5588,-3.5196,0.2059
PGR,2026-06-05,204.02,186.52,199.0188,5.0416,13.9388,23.8327,16.2971,REPAIR,-5.7673,663630962,-0.446,1.6469,14.1555
KRE,2026-03-31,65.15,62.9,60.3504,1.3771,28.5965,19.9083,25.4973,REPAIR,1.6818,1370318544,5.4336,6.1704,7.2141
KRE,2026-05-22,69.37,68.29,71.0168,1.2518,16.3994,20.8255,22.1674,PASS,5.774,947648423,-1.528,1.4271,6.6311
KRE,2026-06-09,71.24,68.71,67.6008,1.3564,13.2654,29.724,16.5657,PASS,7.8625,1094007921,1.7546,3.8321,5.306
COIN,2026-04-14,184.41,161.91,199.1722,10.51,17.2446,31.4034,27.8322,DEEP-FAIL,-32.9996,1995081695,6.2578,5.2546,9.4301
COIN,2026-05-11,216.6,187.46,185.4561,12.2174,12.1577,28.9404,22.4086,DEEP-FAIL,-16.0259,2247437885,-12.5392,-16.8929,-28.9151
COIN,2026-05-29,189.03,163.07,194.0386,13.5027,11.2138,22.8954,22.9711,DEEP-FAIL,-23.9105,1832133673,-19.3779,-15.4737,-22.6631
DELL,2026-04-08,185.47,165.76,189.1714,9.4764,29.0027,37.4331,17.3738,PASS,37.0903,1672732722,-4.4158,15.733,24.1548
CAT,2026-04-01,730.32,667.22,663.0105,24.2328,16.4401,24.8212,25.4197,PASS,33.2956,1954715393,7.7706,5.7975,21.8192
CAT,2026-05-26,908.55,845.47,962.7161,29.0806,27.447,29.3398,16.6888,PASS,44.582,2356587314,0.1387,0.6769,16.3403
CAT,2026-06-03,926.18,872.38,931.1188,28.2771,24.5657,34.0357,17.9498,PASS,44.0655,2455491750,-7.5601,3.211,4.7226
CAT,2026-06-17,955.92,895.56,890.2635,36.2957,23.1383,29.2848,14.3466,PASS,43.2097,2655523487,10.5752,0.7961,-9.5845
DE,2026-04-08,609.32,562.36,531.9751,17.3221,21.1488,29.3488,21.4226,PASS,19.506,829485382,-5.3634,-4.8136,-4.7233
DE,2026-04-30,589.87,547.82,559.3533,16.0027,16.5583,26.9692,24.4817,REPAIR,14.3622,652395011,-1.5817,-2.5819,-8.0425
